standard	concentration	mass_mode	polarity	scan_type	scan_rate	n_scans	target_mass	min_intensity	min_width	max_width	max_abs_mass_shift
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	933.426800023997	9e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	1223.44840650936	2e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	1572.11922719306	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	1863.31448993227	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	200	50	1979.03799255844	3e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	44.4536250999663	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	411.059174992144	3e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	585.713326641359	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	933.426800023997	9e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	1223.44840650936	8e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	1572.11922719306	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	1863.31448993227	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	1000	100	1979.03799255844	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	44.4536250999663	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	411.059174992144	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	585.713326641359	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	933.426800023997	7e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	1223.44840650936	9e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	1572.11922719306	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	1863.31448993227	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	2000	200	1979.03799255844	1e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	44.4536250999663	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	411.059174992144	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	585.713326641359	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	933.426800023997	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	1223.44840650936	5e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	1572.11922719306	7e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	1863.31448993227	9e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q1 MS	20000	2000	1979.03799255844	3e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	44.4536250999663	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	411.059174992144	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	585.713326641359	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	933.426800023997	9e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	1223.44840650936	7e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	1572.11922719306	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	1863.31448993227	3e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	10	10	1979.03799255844	9e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	44.4536250999663	6e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	411.059174992144	5e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	585.713326641359	7e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	933.426800023997	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	1223.44840650936	6e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	1572.11922719306	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	1863.31448993227	7e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	200	50	1979.03799255844	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	44.4536250999663	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	411.059174992144	5e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	585.713326641359	4e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	933.426800023997	9e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	1223.44840650936	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	1572.11922719306	9e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	1863.31448993227	2e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	1000	100	1979.03799255844	7e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	44.4536250999663	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	411.059174992144	9e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	585.713326641359	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	933.426800023997	5e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	1223.44840650936	3e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	1572.11922719306	4e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	1863.31448993227	8e+08	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	2000	200	1979.03799255844	1e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	44.4536250999663	1e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	411.059174992144	3e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	585.713326641359	2e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	933.426800023997	2e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	1223.44840650936	8e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	1572.11922719306	2e+06	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	1863.31448993227	7e+07	0.6	0.8	0.1
Neg PPG	3e-05	Low Mass	Negative	Q3 MS	20000	2000	1979.03799255844	4e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	46.2257276813034	8e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	413.295582542429	1e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	587.96295899176	8e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	935.190528016305	8e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	1225.55341418996	5e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	1574.97570532863	5e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	1865.6404769707	7e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	10	10	1981.17729820614	5e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	46.2257276813034	9e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	413.295582542429	4e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	587.96295899176	3e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	935.190528016305	2e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	1225.55341418996	8e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	1574.97570532863	7e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	1865.6404769707	7e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	200	50	1981.17729820614	7e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	46.2257276813034	4e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	413.295582542429	9e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	587.96295899176	1e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	935.190528016305	6e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	1225.55341418996	7e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	1574.97570532863	4e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	1865.6404769707	7e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	1000	100	1981.17729820614	9e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	46.2257276813034	9e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	413.295582542429	4e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	587.96295899176	4e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	935.190528016305	3e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	1225.55341418996	8e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	1574.97570532863	9e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	1865.6404769707	8e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	2000	200	1981.17729820614	2e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	46.2257276813034	5e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	413.295582542429	7e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	587.96295899176	4e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	935.190528016305	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	1225.55341418996	9e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	1574.97570532863	7e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	1865.6404769707	5e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q1 MS	20000	2000	1981.17729820614	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	46.2257276813034	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	413.295582542429	1e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	587.96295899176	9e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	935.190528016305	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	1225.55341418996	9e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	1574.97570532863	7e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	1865.6404769707	1e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	10	10	1981.17729820614	9e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	46.2257276813034	1e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	413.295582542429	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	587.96295899176	5e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	935.190528016305	5e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	1225.55341418996	6e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	1574.97570532863	7e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	1865.6404769707	4e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	200	50	1981.17729820614	2e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	46.2257276813034	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	413.295582542429	5e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	587.96295899176	9e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	935.190528016305	2e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	1225.55341418996	2e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	1574.97570532863	2e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	1865.6404769707	2e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	1000	100	1981.17729820614	3e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	46.2257276813034	7e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	413.295582542429	1e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	587.96295899176	4e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	935.190528016305	6e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	1225.55341418996	3e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	1574.97570532863	5e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	1865.6404769707	4e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	2000	200	1981.17729820614	6e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	46.2257276813034	4e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	413.295582542429	9e+06	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	587.96295899176	3e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	935.190528016305	6e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	1225.55341418996	2e+08	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	1574.97570532863	3e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	1865.6404769707	7e+07	0.6	0.8	0.1
Pos PPG	3e-05	High Mass	Positive	Q3 MS	20000	2000	1981.17729820614	3e+06	0.6	0.8	0.1
